"variable","value","deconvolution_method"
"clean_bootstrap",0.182,"clean_bootstrap"
"clean_bootstrap",0.182,"clean_bootstrap"
"clean_bootstrap",0.182,"clean_bootstrap"
"clean_bootstrap",0.182,"clean_bootstrap"
"clean_bootstrap",0.182,"clean_bootstrap"
"clean_bootstrap",0.182,"clean_bootstrap"
"clean_bootstrap",0.184,"clean_bootstrap"
"clean_bootstrap",0.184,"clean_bootstrap"
"clean_bootstrap",0.184,"clean_bootstrap"
"clean_bootstrap",0.184,"clean_bootstrap"
"clean_bootstrap",0.186,"clean_bootstrap"
"clean_bootstrap",0.186,"clean_bootstrap"
"clean_bootstrap",0.186,"clean_bootstrap"
"clean_bootstrap",0.186,"clean_bootstrap"
"clean_bootstrap",0.186,"clean_bootstrap"
"clean_bootstrap",0.186,"clean_bootstrap"
"clean_bootstrap",0.188,"clean_bootstrap"
"clean_bootstrap",0.188,"clean_bootstrap"
"clean_bootstrap",0.188,"clean_bootstrap"
"clean_bootstrap",0.19,"clean_bootstrap"
"clean_bootstrap",0.19,"clean_bootstrap"
"clean_bootstrap",0.192,"clean_bootstrap"
"clean_bootstrap",0.194,"clean_bootstrap"
"clean_bootstrap",0.194,"clean_bootstrap"
"clean_bootstrap",0.194,"clean_bootstrap"
"clean_bootstrap",0.194,"clean_bootstrap"
"clean_bootstrap",0.194,"clean_bootstrap"
"clean_bootstrap",0.194,"clean_bootstrap"
"clean_bootstrap",0.194,"clean_bootstrap"
"clean_bootstrap",0.194,"clean_bootstrap"
"clean_bootstrap",0.196,"clean_bootstrap"
"clean_bootstrap",0.196,"clean_bootstrap"
"clean_bootstrap",0.196,"clean_bootstrap"
"clean_bootstrap",0.196,"clean_bootstrap"
"clean_bootstrap",0.198,"clean_bootstrap"
"clean_bootstrap",0.198,"clean_bootstrap"
"clean_bootstrap",0.198,"clean_bootstrap"
"clean_bootstrap",0.198,"clean_bootstrap"
"clean_bootstrap",0.198,"clean_bootstrap"
"clean_bootstrap",0.198,"clean_bootstrap"
"clean_bootstrap",0.198,"clean_bootstrap"
"clean_bootstrap",0.2,"clean_bootstrap"
"clean_bootstrap",0.2,"clean_bootstrap"
"clean_bootstrap",0.2,"clean_bootstrap"
"clean_bootstrap",0.2,"clean_bootstrap"
"clean_bootstrap",0.2,"clean_bootstrap"
"clean_bootstrap",0.202,"clean_bootstrap"
"clean_bootstrap",0.202,"clean_bootstrap"
"clean_bootstrap",0.202,"clean_bootstrap"
"clean_bootstrap",0.202,"clean_bootstrap"
"clean_bootstrap",0.202,"clean_bootstrap"
"clean_bootstrap",0.204,"clean_bootstrap"
"clean_bootstrap",0.204,"clean_bootstrap"
"clean_bootstrap",0.204,"clean_bootstrap"
"clean_bootstrap",0.204,"clean_bootstrap"
"clean_bootstrap",0.204,"clean_bootstrap"
"clean_bootstrap",0.204,"clean_bootstrap"
"clean_bootstrap",0.204,"clean_bootstrap"
"clean_bootstrap",0.204,"clean_bootstrap"
"clean_bootstrap",0.204,"clean_bootstrap"
"clean_bootstrap",0.204,"clean_bootstrap"
"clean_bootstrap",0.204,"clean_bootstrap"
"clean_bootstrap",0.206,"clean_bootstrap"
"clean_bootstrap",0.206,"clean_bootstrap"
"clean_bootstrap",0.206,"clean_bootstrap"
"clean_bootstrap",0.208,"clean_bootstrap"
"clean_bootstrap",0.208,"clean_bootstrap"
"clean_bootstrap",0.208,"clean_bootstrap"
"clean_bootstrap",0.208,"clean_bootstrap"
"clean_bootstrap",0.21,"clean_bootstrap"
"clean_bootstrap",0.21,"clean_bootstrap"
"clean_bootstrap",0.212,"clean_bootstrap"
"clean_bootstrap",0.212,"clean_bootstrap"
"clean_bootstrap",0.212,"clean_bootstrap"
"clean_bootstrap",0.212,"clean_bootstrap"
"clean_bootstrap",0.212,"clean_bootstrap"
"clean_bootstrap",0.212,"clean_bootstrap"
"clean_bootstrap",0.214,"clean_bootstrap"
"clean_bootstrap",0.214,"clean_bootstrap"
"clean_bootstrap",0.216,"clean_bootstrap"
"clean_bootstrap",0.216,"clean_bootstrap"
"clean_bootstrap",0.216,"clean_bootstrap"
